id,address,postal,rent,man_id
1,20 Burning Wood Crossing,566 24,4936,17
2,1632 Algoma Park,659642,10293,20
3,108 Muir Drive,356235,10035,12
4,05324 Roth Junction,601462,6039,18
5,9 Pepper Wood Junction,R35,5293,6
6,4402 Warner Alley,,7625,6
7,1 Iowa Center,330 12,11056,18
8,115 Nova Way,309924,8362,7
9,04472 Sheridan Center,,4789,1
10,835 Grayhawk Court,,9160,11
11,96383 Weeping Birch Trail,,12062,2
12,9345 Larry Road,47500-000,11960,4
13,353 Lakeland Plaza,,10344,1
14,48 Sheridan Hill,,6855,5
15,3683 Farragut Place,ZBR,8711,14
16,076 New Castle Pass,,5888,16
17,95956 Thierer Point,64100-000,6917,17
18,49663 Buhler Street,,5425,17
19,443 Valley Edge Road,06010,7559,3
20,25445 Calypso Junction,,11144,9
21,0 Mccormick Trail,,12116,8
22,59 Armistice Alley,38-535,12364,5
23,44 Coolidge Trail,2540-170,4960,5
24,54 Helena Way,,11062,16
25,44 1st Junction,356503,9790,12
26,57352 Truax Court,,7849,20
27,19 Leroy Parkway,186806,7924,10
28,3557 Main Way,751 82,8430,20
29,56895 Sunfield Drive,,10964,7
30,27569 Norway Maple Point,,11105,2
31,5 Dixon Drive,,8764,9
32,78 Southridge Center,92015,10556,19
33,519 Union Alley,35230-000,11684,11
34,3833 Hanover Park,,4527,11
35,634 Fieldstone Junction,9650-015,12153,13
36,21 Valley Edge Street,359050,6096,18
37,2072 Gerald Street,,12473,10
38,29 Spenser Point,,10166,12
39,4 Mallory Place,98158,7503,7
40,949 Gale Trail,,8149,6
41,2 Monica Center,4107,7834,1
42,479 Westend Park,,11291,6
43,31 Dixon Drive,,10770,7
44,79 American Avenue,,8633,7
45,43 Village Green Alley,3803,8563,19
46,36834 8th Drive,,8146,15
47,4876 Forest Point,,6143,16
48,8 Mallory Alley,,8909,20
49,43 Springview Pass,,6306,13
50,02282 Doe Crossing Circle,,4571,12
51,14555 Forest Dale Plaza,539 43,9160,8
52,6663 Acker Hill,,10363,10
53,50 Myrtle Plaza,T34,7000,17
54,0333 Grasskamp Hill,,5655,10
55,3236 School Junction,01901,9781,17
56,2 Bay Plaza,,6589,8
57,1927 Maple Trail,,6265,16
58,93 Dunning Terrace,,12005,2
59,447 Evergreen Court,95000-000,6836,18
60,2198 Springview Trail,,7569,2
61,7336 Merrick Avenue,,6104,4
